DATE,PRCP,SNOW,SNWD,SNOW_DAY_SUM
2014-11-26,0.17,2.6,,8.000000000000002
2014-11-27,0.0,0.0,,8.000000000000002
2014-11-28,0.0,0.0,,8.000000000000002
2014-11-29,0.0,0.0,,8.000000000000002
2014-11-30,0.0,0.0,,3.600000000000001
2014-12-01,0.01,0.5,,3.600000000000001
2014-12-02,0.0,0.0,,3.100000000000001
2014-12-03,0.0,0.0,,0.5000000000000009
2014-12-06,0.0,0.0,,0.5000000000000009
2014-12-07,0.0,0.0,,0.5000000000000009
2014-12-08,0.0,0.0,,0.5000000000000009
2014-12-09,0.0,0.0,,0.5000000000000009
2014-12-10,0.0,0.0,,0.0
2014-12-11,0.0,0.0,,0.0
2014-12-12,0.0,0.0,,0.0
2014-12-13,0.0,0.0,,0.0
2014-12-14,0.18,4.6,,4.6000000000000005
2014-12-15,0.39,3.1,,7.700000000000001
2014-12-16,0.0,0.0,,7.700000000000001
2014-12-17,0.05,1.3,,9.0
2014-12-18,0.04,1.1,,10.100000000000001
2014-12-22,0.56,7.5,,17.6
2014-12-23,0.1,1.6,,19.2
2014-12-28,0.04,0.6,,15.200000000000001
2014-12-29,0.08,2.0,,14.100000000000001
2014-12-30,0.01,0.3,,14.400000000000002
2014-12-31,0.01,0.2,,13.3
2015-01-01,0.0,0.0,,12.200000000000001
2015-01-02,0.0,0.0,,4.700000000000001
2015-01-03,0.0,0.5,19.0,3.600000000000001
2015-01-04,0.07,0.9,19.5,3.900000000000001
2015-01-06,0.0,0.0,,1.9000000000000008
2015-01-07,0.0,0.0,,1.600000000000001
2015-01-08,0.0,0.0,,1.4000000000000008
2015-01-09,0.0,0.0,,1.4000000000000008
2015-01-11,0.0,0.2,8.0,1.600000000000001
2015-01-13,0.01,0.5,,1.600000000000001
2015-01-14,0.0,0.0,,0.7000000000000008
2015-01-15,0.0,0.0,,0.7000000000000008
2015-01-16,0.0,0.0,,0.7000000000000008
2015-01-17,0.03,0.9,,1.600000000000001
2015-01-18,0.0,0.0,,1.600000000000001
2015-01-19,0.0,0.0,,1.400000000000001
2015-01-20,0.01,0.6,,1.5000000000000009
2015-01-21,0.0,0.0,,1.5000000000000009
2015-01-22,0.0,0.4,,1.900000000000001
2015-01-23,0.0,0.0,,1.900000000000001
2015-01-24,0.0,0.0,,1.0000000000000009
2015-01-25,0.0,0.0,,1.0000000000000009
2015-01-26,0.0,0.0,,1.0000000000000009
2015-01-27,0.0,0.0,,0.400000000000001
2015-01-28,0.0,0.0,,0.400000000000001
2015-01-30,0.0,0.0,,0.0
2015-02-01,0.03,0.2,,0.200000000000001
2015-02-02,0.07,2.4,14.0,2.600000000000001
2015-02-03,0.08,1.8,18.0,4.400000000000001
2015-02-04,0.2,3.0,17.0,7.400000000000001
2015-02-06,0.0,0.0,,7.400000000000001
2015-02-07,0.0,0.0,,7.400000000000001
2015-02-10,0.05,1.0,12.0,8.400000000000002
2015-02-11,0.0,0.0,,8.200000000000003
2015-02-12,0.0,0.0,,5.800000000000002
2015-02-13,0.0,0.0,,4.000000000000001
2015-02-14,0.0,0.0,,1.0000000000000009
2015-02-15,0.0,0.0,,1.0000000000000009
2015-02-16,0.13,2.3,12.0,3.3000000000000007
2015-02-17,0.07,0.9,12.5,3.2000000000000006
2015-02-18,0.0,0.0,,3.2000000000000006
2015-02-19,0.0,0.0,,3.2000000000000006
2015-02-20,0.0,0.0,,3.2000000000000006
2015-02-21,0.18,2.4,13.0,5.6000000000000005
2015-02-22,0.11,2.0,14.5,7.6000000000000005
2015-02-23,0.09,1.0,14.5,6.300000000000001
2015-02-24,0.0,0.0,,5.4
2015-02-26,0.06,0.9,14.5,6.300000000000001
2015-02-27,0.16,1.7,15.5,8.0
2015-02-28,0.0,0.0,,8.0
2015-03-01,0.1,3.3,18.0,8.9
2015-03-02,0.21,3.0,18.0,9.9
2015-03-03,0.16,2.1,15.0,11.0
2015-03-04,0.14,1.1,15.5,12.100000000000001
2015-03-05,0.0,0.0,,11.200000000000001
2015-03-06,0.0,0.0,,9.500000000000002
2015-03-07,0.0,0.0,,9.500000000000002
2015-03-08,0.0,0.0,,6.200000000000001
2015-03-09,0.0,0.0,,3.200000000000001
2015-03-10,0.0,0.0,,1.100000000000001
2015-03-11,0.0,0.0,,0.0
2015-03-12,0.0,0.0,,0.0
2015-03-14,0.0,0.0,,0.0
2015-03-16,0.0,0.0,,0.0
2015-03-17,0.0,0.0,,0.0
2015-03-18,0.0,0.0,,0.0
2015-03-21,0.0,0.0,,0.0
2015-03-22,0.0,0.0,,0.0
2015-03-26,0.0,0.0,,0.0
2015-03-28,0.0,0.0,,0.0
2015-03-30,0.0,0.0,,0.0
2015-03-31,0.0,0.0,,0.0
2015-04-01,0.0,0.0,,0.0
2015-04-04,0.0,0.0,,0.0
2015-04-05,0.0,0.0,,0.0
2015-04-06,0.0,0.0,,0.0
2015-04-07,0.0,0.0,,0.0
2015-04-08,0.0,0.0,,0.0
2015-04-09,0.03,0.5,0.5,0.5000000000000009
2015-04-10,0.0,0.0,,0.5000000000000009
2015-04-11,0.0,0.0,,0.5000000000000009
2015-04-12,0.0,0.0,,0.5000000000000009
2015-04-13,0.0,0.0,,0.5000000000000009
2015-04-14,0.0,0.0,,0.5000000000000009
2015-04-15,0.0,0.0,,0.5000000000000009
2015-04-16,0.0,0.0,,0.0
2015-04-17,0.29,5.5,,5.500000000000001
2015-04-18,0.08,1.4,,6.9
2015-04-19,0.07,1.1,,8.0
2015-04-22,0.0,0.0,,8.0
2015-04-23,0.0,0.0,,8.0
2015-04-26,0.21,0.8,,8.8
2015-04-28,0.0,0.0,,8.8
2015-04-29,0.0,0.0,,3.3000000000000007
2015-04-30,0.0,0.0,,1.900000000000001
2015-05-04,0.0,0.0,,0.8000000000000009
2015-05-09,0.34,0.3,,1.100000000000001
2015-05-10,0.07,1.4,,2.500000000000001
2015-05-13,0.0,0.0,,1.7000000000000008
2015-05-17,0.19,0.2,,1.9000000000000008
2015-05-21,0.0,0.0,,1.9000000000000008
2015-05-24,0.06,0.2,,2.100000000000001
2015-06-02,0.0,0.0,,2.100000000000001
2015-06-03,0.0,0.0,,1.8000000000000007
2015-06-05,0.0,0.0,,0.4000000000000009
2015-06-09,0.0,0.0,,0.4000000000000009
2015-06-13,0.0,0.0,,0.2000000000000009
2015-06-15,0.0,0.0,,0.2000000000000009
2015-06-18,0.0,0.0,,0.0
2015-06-19,0.0,0.0,,0.0
2015-06-20,0.0,0.0,,0.0
2015-06-21,0.0,0.0,,0.0
2015-06-22,0.0,0.0,,0.0
2015-06-23,0.0,0.0,,0.0
2015-06-24,0.0,0.0,,0.0
2015-06-27,0.0,0.0,,0.0
2015-07-04,0.0,0.0,,0.0
2015-07-11,0.0,0.0,,0.0
2015-07-13,0.0,0.0,,0.0
2015-07-14,0.0,0.0,,0.0
2015-07-15,0.0,0.0,,0.0
2015-07-18,0.0,0.0,,0.0
2015-07-23,0.0,0.0,,0.0
2015-07-24,0.0,0.0,,0.0
2015-07-25,0.0,0.0,,0.0
2015-07-26,0.0,0.0,,0.0
2015-07-27,0.0,0.0,,0.0
2015-07-28,0.0,0.0,,0.0
2015-07-29,0.0,0.0,,0.0
2015-07-31,0.0,0.0,,0.0
2015-08-01,0.0,0.0,,0.0
2015-08-02,0.0,0.0,,0.0
2015-08-05,0.0,0.0,,0.0
2015-08-06,0.0,0.0,,0.0
2015-08-09,0.0,0.0,,0.0
2015-08-10,0.0,0.0,,0.0
2015-08-11,0.0,0.0,,0.0
2015-08-13,0.0,0.0,,0.0
2015-08-19,0.0,0.0,,0.0
2015-08-20,0.0,0.0,,0.0
2015-08-21,0.0,0.0,,0.0
2015-08-22,0.0,0.0,,0.0
2015-08-23,0.0,0.0,,0.0
2015-08-24,0.0,0.0,,0.0
2015-08-25,0.0,0.0,,0.0
2015-08-26,0.0,0.0,,0.0
2015-09-03,0.0,0.0,,0.0
2015-09-10,0.0,0.0,,0.0
2015-09-11,0.0,0.0,,0.0
2015-09-12,0.0,0.0,,0.0
2015-09-13,0.0,0.0,,0.0
2015-09-14,0.0,0.0,,0.0
2015-09-19,0.0,0.0,,0.0
2015-09-20,0.0,0.0,,0.0
2015-09-21,0.0,0.0,,0.0
2015-09-22,0.0,0.0,,0.0
2015-09-24,0.0,0.0,,0.0
2015-09-25,0.0,0.0,,0.0
2015-09-26,0.0,0.0,,0.0
2015-09-27,0.0,0.0,,0.0
2015-09-28,0.0,0.0,,0.0
2015-09-30,0.0,0.0,,0.0
2015-10-01,0.0,0.0,,0.0
2015-10-02,0.0,0.0,,0.0
2015-10-04,0.0,0.0,,0.0
2015-10-05,0.0,0.0,,0.0
2015-10-08,0.0,0.0,,0.0
2015-10-10,0.0,0.0,,0.0
2015-10-11,0.0,0.0,,0.0
2015-10-12,0.0,0.0,,0.0
2015-10-13,0.0,0.0,,0.0
2015-10-14,0.0,0.0,,0.0
2015-10-15,0.0,0.0,,0.0
2015-10-16,0.0,0.0,,0.0
2015-10-17,0.0,0.0,,0.0
2015-10-18,0.0,0.0,,0.0
2015-10-21,0.0,0.0,,0.0
2015-10-25,0.0,0.0,,0.0
2015-10-26,0.0,0.0,,0.0
2015-10-29,0.0,0.0,,0.0
2015-10-30,0.13,1.6,,1.600000000000001
2015-10-31,0.0,0.0,,1.600000000000001
2015-11-01,0.0,0.0,,1.600000000000001
2015-11-02,0.0,0.0,,1.600000000000001
2015-11-03,0.0,0.0,,1.600000000000001
2015-11-04,0.0,0.0,,1.600000000000001
2015-11-05,0.4,7.0,7.0,8.600000000000001
2015-11-06,0.06,1.7,,8.700000000000001
2015-11-07,0.01,0.6,,9.300000000000002
2015-11-08,0.0,0.0,,9.300000000000002
2015-11-09,0.0,0.0,,9.300000000000002
2015-11-10,0.0,0.0,,9.300000000000002
2015-11-11,0.52,10.8,,20.1
2015-11-13,0.0,0.0,,13.100000000000003
2015-11-15,0.0,0.0,,11.400000000000004
2015-11-16,0.0,0.0,,10.800000000000002
2015-11-17,0.2,3.6,9.0,14.400000000000002
2015-11-18,0.13,1.0,,15.400000000000002
2015-11-19,0.02,0.5,9.0,15.900000000000002
2015-11-20,0.1,1.0,9.5,6.100000000000001
2015-11-21,0.03,0.9,9.5,7.000000000000002
2015-11-22,0.0,0.0,,7.000000000000002
2015-11-23,0.0,0.0,9.0,7.000000000000002
2015-11-24,0.0,0.0,,3.4000000000000017
2015-11-26,0.03,1.6,9.5,4.000000000000002
2015-11-27,0.06,0.5,10.0,4.000000000000002
2015-11-28,0.02,0.6,10.0,3.600000000000002
2015-11-29,0.02,0.5,9.5,3.200000000000002
2015-11-30,0.07,1.1,10.0,4.3000000000000025
2015-12-01,0.03,0.7,10.5,5.000000000000002
2015-12-02,0.0,0.0,10.0,5.000000000000002
2015-12-03,0.0,0.0,,3.400000000000002
2015-12-04,0.0,0.0,,2.900000000000002
2015-12-05,0.0,0.0,9.5,2.3000000000000016
2015-12-06,0.0,0.0,,1.8000000000000018
2015-12-07,0.0,0.0,,0.7000000000000017
2015-12-08,0.0,0.0,,0.0
2015-12-09,0.0,0.0,,0.0
2015-12-10,0.0,0.0,,0.0
2015-12-11,0.28,3.6,11.5,3.600000000000002
2015-12-12,0.09,2.1,13.0,5.700000000000002
2015-12-13,0.05,0.7,12.5,6.400000000000002
2015-12-15,0.67,7.2,17.5,13.600000000000001
2015-12-16,0.01,0.3,17.0,13.900000000000002
2015-12-17,0.03,0.8,16.0,14.700000000000003
2015-12-18,0.01,1.2,17.0,15.900000000000002
2015-12-20,0.0,0.0,,12.300000000000002
2015-12-21,0.11,1.7,16.5,11.900000000000002
2015-12-23,0.18,3.5,19.5,14.700000000000003
2015-12-24,0.03,0.5,18.5,8.000000000000002
2015-12-25,0.09,0.5,18.5,8.200000000000003
2015-12-26,0.09,1.2,18.5,8.600000000000001
2015-12-27,0.0,0.0,18.0,7.400000000000002
2015-12-28,0.0,0.0,17.5,7.400000000000002
2015-12-29,0.0,0.0,,5.700000000000002
2015-12-30,0.02,0.4,17.5,2.600000000000002
2015-12-31,0.02,0.5,17.5,2.600000000000002
2016-01-01,0.0,0.0,,2.100000000000002
2016-01-03,0.0,0.0,,0.9000000000000018
2016-01-04,0.0,0.0,,0.9000000000000018
2016-01-05,0.0,0.0,,0.9000000000000018
2016-01-06,0.0,0.0,,0.9000000000000018
2016-01-07,0.05,0.8,,1.3000000000000018
2016-01-08,0.09,1.1,,1.900000000000002
2016-01-10,0.0,0.4,,2.300000000000002
2016-01-11,0.0,0.0,,2.300000000000002
2016-01-12,0.0,0.0,,2.300000000000002
2016-01-13,0.0,0.0,,2.300000000000002
2016-01-14,0.0,0.0,,2.300000000000002
2016-01-15,0.08,1.9,,3.400000000000002
2016-01-16,0.0,0.2,,2.5000000000000018
2016-01-17,0.12,4.1,,6.200000000000001
2016-01-18,0.0,0.0,,6.200000000000001
2016-01-19,0.08,1.2,,7.400000000000001
2016-01-20,0.08,2.3,,9.700000000000001
2016-01-21,0.0,0.0,,9.700000000000001
2016-01-22,0.0,0.0,,7.800000000000001
2016-01-24,0.0,0.0,,7.600000000000001
2016-01-25,0.0,0.0,,3.5000000000000018
2016-01-26,0.0,0.0,,3.5000000000000018
2016-01-27,0.0,0.0,,2.3000000000000016
2016-01-28,0.0,0.0,,0.0
2016-01-29,0.02,1.1,,1.1000000000000019
2016-02-01,0.13,3.4,23.5,4.500000000000002
2016-02-02,0.17,3.5,26.0,8.000000000000002
2016-02-03,0.0,0.0,25.0,8.000000000000002
2016-02-04,0.0,0.0,25.0,8.000000000000002
2016-02-05,0.1,1.2,25.5,9.200000000000001
2016-02-06,0.0,0.0,,9.200000000000001
2016-02-07,0.0,0.0,,8.100000000000001
2016-02-08,0.0,0.0,,4.700000000000002
2016-02-09,0.0,0.0,,1.2000000000000017
2016-02-10,0.0,0.0,,1.2000000000000017
2016-02-11,0.0,0.0,,1.2000000000000017
2016-02-12,0.0,0.0,,0.0
2016-02-13,0.0,0.0,,0.0
2016-02-14,0.0,0.0,21.5,0.0
2016-02-15,0.06,1.0,23.0,1.0000000000000018
2016-02-16,0.0,0.0,22.5,1.0000000000000018
2016-02-18,0.0,0.0,,1.0000000000000018
2016-02-20,0.0,0.0,,1.0000000000000018
2016-02-21,0.0,0.0,,1.0000000000000018
2016-02-22,0.0,0.0,,1.0000000000000018
2016-02-23,0.08,2.4,,3.4000000000000017
2016-02-24,0.0,0.0,,2.4000000000000017
2016-02-25,0.0,0.0,,2.4000000000000017
2016-02-26,0.0,0.0,,2.4000000000000017
2016-02-27,0.0,0.0,,2.4000000000000017
2016-02-28,0.0,0.0,,2.4000000000000017
2016-02-29,0.0,0.0,,2.4000000000000017
2016-03-01,0.02,0.5,,0.5000000000000018
2016-03-02,0.0,0.0,,0.5000000000000018
2016-03-03,0.01,0.5,,1.0000000000000018
2016-03-04,0.0,0.0,,1.0000000000000018
2016-03-05,0.0,0.0,,1.0000000000000018
2016-03-06,0.0,0.0,,1.0000000000000018
2016-03-10,0.0,0.3,,1.3000000000000018
2016-03-11,0.0,0.0,,0.8000000000000018
2016-03-13,0.0,0.3,,1.1000000000000019
2016-03-14,0.0,0.0,,0.6000000000000018
2016-03-15,0.1,1.5,,2.100000000000002
2016-03-16,0.02,0.4,,2.5000000000000018
2016-03-17,0.06,2.6,,5.100000000000001
2016-03-18,0.06,2.2,,7.000000000000002
2016-03-19,0.0,0.0,,7.000000000000002
2016-03-20,0.0,0.0,,6.700000000000003
2016-03-21,0.0,0.0,,6.700000000000003
2016-03-22,0.0,0.0,,5.200000000000003
2016-03-23,0.72,9.8,,14.600000000000003
2016-03-24,0.04,0.9,,12.900000000000004
2016-03-25,0.07,1.6,,12.300000000000002
2016-03-26,0.0,0.0,,12.300000000000002
2016-03-27,0.0,0.0,,12.300000000000002
2016-03-28,0.0,0.0,,12.300000000000002
2016-03-29,0.0,0.0,,12.300000000000002
2016-03-30,0.08,1.3,,3.8000000000000016
2016-03-31,0.13,1.6,,4.500000000000002
2016-04-01,0.0,0.0,,2.900000000000002
2016-04-03,0.0,0.0,,2.900000000000002
2016-04-04,0.0,0.0,,2.900000000000002
2016-04-05,0.0,0.0,,2.900000000000002
2016-04-06,0.0,0.0,,2.900000000000002
2016-04-07,0.0,0.0,,1.6000000000000019
2016-04-08,0.0,0.0,,0.0
2016-04-09,0.0,0.0,,0.0
2016-04-11,0.01,0.0,,0.0
2016-04-12,0.0,0.0,,0.0
2016-04-13,0.0,0.0,,0.0
2016-04-14,0.0,0.0,,0.0
2016-04-15,0.0,0.0,,0.0
2016-04-16,0.4,3.7,,3.700000000000002
2016-04-17,0.19,4.2,,7.900000000000002
2016-04-20,0.0,0.0,,7.900000000000002
2016-04-22,0.0,0.0,,7.900000000000002
2016-04-26,0.16,3.0,,10.900000000000002
2016-04-27,0.03,0.8,,11.700000000000003
2016-04-28,0.0,0.0,,11.700000000000003
2016-04-29,0.15,2.2,,10.200000000000003
2016-04-30,0.11,2.0,,8.000000000000002
2016-05-01,0.03,0.2,,8.200000000000001
2016-05-03,0.0,0.0,,8.200000000000001
2016-05-04,0.0,0.0,,5.200000000000002
2016-05-09,0.6,5.6,,10.000000000000002
2016-05-11,0.0,0.0,,10.000000000000002
2016-05-12,0.0,0.0,,7.800000000000002
2016-05-13,0.0,0.0,,5.800000000000002
2016-05-14,0.0,0.0,,5.600000000000001
2016-05-15,0.0,0.0,,5.600000000000001
2016-05-21,0.0,0.0,,5.600000000000001
2016-05-22,0.0,0.0,,0.0
2016-05-23,0.0,0.0,,0.0
2016-05-24,0.0,0.0,,0.0
2016-05-25,0.0,0.0,,0.0
2016-05-26,0.0,0.0,,0.0
2016-05-27,0.0,0.0,,0.0
2016-06-01,0.0,0.0,,0.0
2016-06-02,0.0,0.0,,0.0
2016-06-03,0.0,0.0,,0.0
2016-06-04,0.0,0.0,,0.0
2016-06-05,0.0,0.0,,0.0
2016-06-11,0.0,0.0,,0.0
2016-07-05,0.0,0.0,,0.0
2016-07-06,0.0,0.0,,0.0
2016-07-07,0.0,0.0,,0.0
2016-07-08,0.0,0.0,,0.0
2016-07-09,0.0,0.0,,0.0
2016-07-10,0.0,0.0,,0.0
2016-07-11,0.0,0.0,,0.0
2016-07-12,0.0,0.0,,0.0
2016-07-13,0.0,0.0,,0.0
2016-07-14,0.0,0.0,,0.0
2016-07-15,0.0,0.0,,0.0
2016-07-17,0.0,0.0,,0.0
2016-07-18,0.0,0.0,,0.0
2016-07-23,0.0,0.0,,0.0
2016-07-24,0.0,0.0,,0.0
2016-07-25,0.0,0.0,,0.0
2016-07-26,0.0,0.0,,0.0
2016-07-27,0.0,0.0,,0.0
2016-07-28,0.0,0.0,,0.0
2016-07-29,0.0,0.0,,0.0
2016-07-30,0.0,0.0,,0.0
2016-07-31,0.0,0.0,,0.0
2016-08-02,0.0,0.0,,0.0
2016-08-04,0.0,0.0,,0.0
2016-08-08,0.02,0.0,,0.0
2016-08-13,0.0,0.0,,0.0
2016-08-15,0.0,0.0,,0.0
2016-08-16,0.0,0.0,,0.0
2016-08-22,0.0,0.0,,0.0
2016-08-27,0.0,0.0,,0.0
2016-08-28,0.0,0.0,,0.0
2016-08-31,0.0,0.0,,0.0
2016-09-01,0.0,0.0,,0.0
2016-09-07,0.0,0.0,,0.0
2016-09-08,0.0,0.0,,0.0
2016-09-09,0.0,0.0,,0.0
2016-09-10,0.0,0.0,,0.0
2016-09-11,0.0,0.0,,0.0
2016-09-12,0.0,0.0,,0.0
