"STATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"USW00003038","2018-06-07",,,,,
"USW00003038","2018-06-08",,,,,
"USW00003038","2018-06-09",,,,,
"USW00003038","2018-06-10",,,,,
"USW00003038","2018-06-11",,,,,
"USW00003038","2018-06-12",,,,,
"USW00003038","2018-06-13",,,,,
"USW00003038","2018-06-14",,,,,
"USW00003038","2018-06-15",,,,,
"USW00003038","2018-06-16",,,,,
"USW00003038","2018-06-17",,,,,
"USW00003038","2018-06-18",,,,,
"USW00003038","2018-06-19",,,,,
"USW00003038","2018-06-20",,,,,
"USW00003038","2018-06-21",,,,,
"USW00003038","2018-06-22",,,,,
"USW00003038","2018-06-23",,,,,
"USW00003038","2018-06-24",,,,,
"USW00003038","2018-06-25",,,,,
"USW00003038","2018-06-26",,,,,
"USW00003038","2018-06-27",,,,,
"USW00003038","2018-06-28",,,,,
"USW00003038","2018-06-29",,,,,
"USW00003038","2018-06-30",,,,,
"USW00003038","2018-07-01",,,,,
"USW00003038","2018-07-02",,,,,
"USW00003038","2018-07-03",,,,,
"USW00003038","2018-07-04",,,,,
"USW00003038","2018-07-05",,,,,
"USW00003038","2018-07-06",,,,,
"USW00003038","2018-07-07",,,,,
"USW00003038","2018-07-08",,,,,
"USW00003038","2018-07-09",,,,,
"USW00003038","2018-07-10",,,,,
"USW00003038","2018-07-11",,,,,
"USW00003038","2018-07-12",,,,,
"USW00003038","2018-07-13",,,,,
"USW00003038","2018-07-14",,,,,
"USW00003038","2018-07-15",,,,,
"USW00003038","2018-07-16",,,,,
"USW00003038","2018-07-17",,,,,
"USW00003038","2018-07-18",,,,,
"USW00003038","2018-07-19",,,,,
"USW00003038","2018-07-20",,,,,
"USW00003038","2018-07-21",,,,,
"USW00003038","2018-07-22",,,,,
"USW00003038","2018-07-23",,,,,
"USW00003038","2018-07-24",,,,,
"USW00003038","2018-07-25",,,,,
"USW00003038","2018-07-26",,,,,
"USW00003038","2018-07-27",,,,,
"USW00003038","2018-07-28",,,,,
"USW00003038","2018-07-29",,,,,
"USW00003038","2018-07-30",,,,,
"USW00003038","2018-07-31",,,,,
"USW00003038","2018-08-01",,,,,
"USW00003038","2018-08-02",,,,,
"USW00003038","2018-08-03",,,,,
"USW00003038","2018-08-04",,,,,
"USW00003038","2018-08-05",,,,,
"USW00003038","2018-08-06",,,,,
"USW00003038","2018-08-07",,,,,
"USW00003038","2018-08-08",,,,,
"USW00003038","2018-08-09",,,,,
"USW00003038","2018-08-10",,,,,
"USW00003038","2018-08-11",,,,,
"USW00003038","2018-08-12",,,,,
"USW00003038","2018-08-13",,,,,
"USW00003038","2018-08-14",,,,,
"USW00003038","2018-08-15",,,,,
"USW00003038","2018-08-16",,,,,
"USW00003038","2018-08-17",,,,,
"USW00003038","2018-08-18",,,,,
"USW00003038","2018-08-19",,,,,
"USW00003038","2018-08-20",,,,,
"USW00003038","2018-08-21",,,,,
"USW00003038","2018-08-30",,,,,
"USW00003038","2018-08-31",,,,,
"USW00003038","2018-09-01",,,,,
"USW00003038","2018-09-02",,,,,
"USW00003038","2018-09-03",,,,,
"USW00003038","2018-09-04",,,,,
"USW00003038","2018-09-05",,,,,
"USW00003038","2018-09-06",,,,,
"USW00003038","2018-09-07",,,,,
"USW00003038","2018-09-08",,,,,
"USW00003038","2018-09-09",,,,,
"USW00003038","2018-09-10",,,,,
"USW00003038","2018-09-12",,,,,
"USW00003038","2018-09-13",,,,,
"USW00003038","2018-09-14",,,,,
"USW00003038","2018-09-15",,,,,
"USW00003038","2018-09-16",,,,,
"USW00003038","2018-09-17",,,,,
"USW00003038","2018-09-18",,,,,
"USW00003038","2018-09-19",,,,,
"USW00003038","2018-09-20",,,,,
"USW00003038","2018-09-21",,,,,
"USW00003038","2018-09-22",,,,,
"USW00003038","2018-09-23",,,,,
"USW00003038","2018-09-24",,,,,
"USW00003038","2018-09-25",,,,,
"USW00003038","2018-09-26",,,,,
"USW00003038","2018-09-27",,,,,
"USW00003038","2018-09-28",,,,,
"USW00003038","2018-09-29",,,,,
"USW00003038","2018-09-30",,,,,
"USW00003038","2018-10-01",,,,,
"USW00003038","2018-10-02",,,,,
"USW00003038","2018-10-03",,,,,
"USW00003038","2018-10-04",,,,,
"USW00003038","2018-10-05",,,,,
"USW00003038","2018-10-06",,,,,
"USW00003038","2018-10-07",,,,,
"USW00003038","2018-10-08",,,,,
"USW00003038","2018-10-09",,,,,
"USW00003038","2018-10-10",,,,,
"USW00003038","2018-10-11",,,,,
"USW00003038","2018-10-12",,,,,
"USW00003038","2018-10-13",,,,,
"USW00003038","2018-10-14",,,,,
"USW00003038","2018-10-15",,,,,
"USW00003038","2018-10-16",,,,,
"USW00003038","2018-10-17",,,,,
"USW00003038","2018-10-18",,,,,
"USW00003038","2018-10-19",,,,,
"USW00003038","2018-10-20",,,,,
"USW00003038","2018-10-21",,,,,
"USW00003038","2018-10-22",,,,,
"USW00003038","2018-10-23",,,,,
"USW00003038","2018-10-24",,,,,
"USW00003038","2018-10-25",,,,,
"USW00003038","2018-10-26",,,,,
"USW00003038","2018-10-27",,,,,
"USW00003038","2018-10-28",,,,,
"USW00003038","2018-10-29",,,,,
"USW00003038","2018-10-30",,,,,
"USW00003038","2018-10-31",,,,,
"USW00003038","2018-11-01",,,,,
"USW00003038","2018-11-02",,,,,
"USW00003038","2018-11-03",,,,,
"USW00003038","2018-11-04",,,,,
"USW00003038","2018-11-05",,,,,
"USW00003038","2018-11-06",,,,,
"USW00003038","2018-11-07",,,,,
"USW00003038","2018-11-08",,,,,
"USW00003038","2018-11-09",,,,,
"USW00003038","2018-11-10",,,,,
"USW00003038","2018-11-11",,,,,
"USW00003038","2018-11-12",,,,,
"USW00003038","2018-11-13",,,,,
"USW00003038","2018-11-14",,,,,
"USW00003038","2018-11-15",,,,,
"USW00003038","2018-11-16",,,,,
"USW00003038","2018-11-17",,,,,
"USW00003038","2018-11-18",,,,,
"USW00003038","2018-11-19",,,,,
"USW00003038","2018-11-20",,,,,
"USW00003038","2018-11-21",,,,,
"USW00003038","2018-11-22",,,,,
"USW00003038","2018-11-23",,,,,
"USW00003038","2018-11-24",,,,,
"USW00003038","2018-11-25",,,,,
"USW00003038","2018-11-26",,,,,
"USW00003038","2018-11-27",,,,,
"USW00003038","2018-11-28",,,,,
"USW00003038","2018-11-29",,,,,
"USW00003038","2018-11-30",,,"0.00","0.0","0.0"
"USW00003038","2018-12-01",,,,,
"USW00003038","2018-12-02",,,,,
"USW00003038","2018-12-03",,,,,
"USW00003038","2018-12-04",,,,,
"USW00003038","2018-12-05",,,,,
"USW00003038","2018-12-06",,,,,
"USW00003038","2018-12-07",,,,,
"USW00003038","2018-12-08",,,,,
"USW00003038","2018-12-09",,,,,
"USW00003038","2018-12-10",,,,,
"USW00003038","2018-12-11",,,,,
"USW00003038","2018-12-12",,,,,
"USW00003038","2018-12-13",,,,,
"USW00003038","2018-12-14",,,,,
"USW00003038","2018-12-15",,,,,
"USW00003038","2018-12-16",,,"0.00","0.0","0.0"
"USW00003038","2018-12-17",,,"0.00","0.0","0.0"
"USW00003038","2018-12-18",,,,,
"USW00003038","2018-12-19",,,,,
"USW00003038","2018-12-20",,,,,
"USW00003038","2018-12-21",,,,,
"USW00003038","2018-12-22",,,,,
"USW00003038","2018-12-23",,,,,
"USW00003038","2018-12-24",,,,,
"USW00003038","2018-12-25",,,,,
"USW00003038","2018-12-26",,,,,
"USW00003038","2018-12-27",,,,,
"USW00003038","2018-12-28",,,,,
"USW00003038","2018-12-29",,,,,
"USW00003038","2018-12-30",,,,,
"USW00003038","2018-12-31",,,,,
"USW00003038","2019-01-01",,,,,
"USW00003038","2019-01-02",,,,,
"USW00003038","2019-01-03",,,,,
"USW00003038","2019-01-04",,,,,
"USW00003038","2019-01-05",,,,,
"USW00003038","2019-01-06",,,,,
"USW00003038","2019-01-07",,,,,
"USW00003038","2019-01-08",,,,,
"USW00003038","2019-01-09",,,,,
"USW00003038","2019-01-10",,,,,
"USW00003038","2019-01-11",,,,,
"USW00003038","2019-01-12",,,,,
"USW00003038","2019-01-13",,,,,
"USW00003038","2019-01-14",,,,,
"USW00003038","2019-01-15",,,,,
"USW00003038","2019-01-16",,,,,
"USW00003038","2019-01-17",,,,,
"USW00003038","2019-01-18",,,,,
"USW00003038","2019-01-19",,,,,
"USW00003038","2019-01-20",,,,,
"USW00003038","2019-01-21",,,,,
"USW00003038","2019-01-22",,,,,
"USW00003038","2019-01-23",,,,,
"USW00003038","2019-01-24",,,,,
"USW00003038","2019-01-25",,,,,
"USW00003038","2019-01-26",,,,,
"USW00003038","2019-01-27",,,,,
"USW00003038","2019-01-28",,,,,
"USW00003038","2019-01-29",,,,,
"USW00003038","2019-01-30",,,"0.00","0.0","0.0"
"USW00003038","2019-01-31",,,"0.01",,"0.0"
"USW00003038","2019-02-01",,,,,
"USW00003038","2019-02-02",,,,,
"USW00003038","2019-02-03",,,,,
"USW00003038","2019-02-04",,,,,
"USW00003038","2019-02-05",,,,,
"USW00003038","2019-02-06",,,,,
"USW00003038","2019-02-07",,,,,
"USW00003038","2019-02-08",,,,,
"USW00003038","2019-02-09",,,,,
"USW00003038","2019-02-10",,,,,
"USW00003038","2019-02-11",,,,,
"USW00003038","2019-02-12",,,,,
"USW00003038","2019-02-13",,,,,
"USW00003038","2019-02-14",,,,,
"USW00003038","2019-02-15",,,,,
"USW00003038","2019-02-16",,,,,
"USW00003038","2019-02-17",,,,,
"USW00003038","2019-02-18",,,,,
"USW00003038","2019-02-19",,,,,
"USW00003038","2019-02-20",,,,,
"USW00003038","2019-02-21",,,,,
"USW00003038","2019-02-22",,,,,
"USW00003038","2019-02-23",,,,,
"USW00003038","2019-02-24",,,,,
"USW00003038","2019-02-25",,,,,
"USW00003038","2019-02-26",,,,,
"USW00003038","2019-02-27",,,,,
"USW00003038","2019-02-28",,,"0.02",,"0.0"
"USW00003038","2019-03-01",,,,,
"USW00003038","2019-03-02",,,,,
"USW00003038","2019-03-03",,,,,
"USW00003038","2019-03-04",,,,,
"USW00003038","2019-03-05",,,,,
"USW00003038","2019-03-06",,,,,
"USW00003038","2019-03-07",,,,,
"USW00003038","2019-03-08",,,,,
"USW00003038","2019-03-09",,,,,
"USW00003038","2019-03-10",,,,,
"USW00003038","2019-03-11",,,,,
"USW00003038","2019-03-12",,,,,
"USW00003038","2019-03-13",,,,,
"USW00003038","2019-03-14",,,,,
"USW00003038","2019-03-15",,,,,
"USW00003038","2019-03-16",,,,,
"USW00003038","2019-03-17",,,,,
"USW00003038","2019-03-18",,,,,
"USW00003038","2019-03-19",,,,,
"USW00003038","2019-03-20",,,,,
"USW00003038","2019-03-21",,,,,
"USW00003038","2019-03-22",,,,,
"USW00003038","2019-03-23",,,,,
"USW00003038","2019-03-24",,,,,
"USW00003038","2019-03-25",,,,,
"USW00003038","2019-03-26",,,,,
"USW00003038","2019-03-27",,,,,
"USW00003038","2019-03-28",,,,,
"USW00003038","2019-03-29",,,,,
"USW00003038","2019-03-30",,,,,
"USW00003038","2019-03-31",,,"0.00","0.0","0.0"
"USW00003038","2019-04-01",,,,,
"USW00003038","2019-04-02",,,,,
"USW00003038","2019-04-03",,,,,
"USW00003038","2019-04-04",,,,,
"USW00003038","2019-04-05",,,,,
"USW00003038","2019-04-06",,,,,
"USW00003038","2019-04-07",,,,,
"USW00003038","2019-04-08",,,,,
"USW00003038","2019-04-09",,,,,
"USW00003038","2019-04-10",,,,,
"USW00003038","2019-04-11",,,,,
"USW00003038","2019-04-12",,,,,
"USW00003038","2019-04-13",,,,,
"USW00003038","2019-04-14",,,,,
"USW00003038","2019-04-15",,,,,
"USW00003038","2019-04-16",,,,,
"USW00003038","2019-04-17",,,,,
"USW00003038","2019-04-18",,,,,
"USW00003038","2019-04-19",,,,,
"USW00003038","2019-04-20",,,,,
"USW00003038","2019-04-21",,,,,
"USW00003038","2019-04-22",,,,,
"USW00003038","2019-04-25",,,,,
"USW00003038","2019-04-26",,,,,
"USW00003038","2019-04-27",,,,,
"USW00003038","2019-04-28",,,,,
"USW00003038","2019-04-29",,,,,
"USW00003038","2019-04-30",,,"0.00","0.0","0.0"
"USW00003038","2019-05-01",,,,,
"USW00003038","2019-05-02",,,,,
"USW00003038","2019-05-03",,,,,
"USW00003038","2019-05-04",,,,,
"USW00003038","2019-05-05",,,,,
"USW00003038","2019-05-06",,,,,
"USW00003038","2019-05-07",,,,,
"USW00003038","2019-05-08",,,,,
"USW00003038","2019-05-09",,,,,
"USW00003038","2019-05-10",,,,,
"USW00003038","2019-05-11",,,,,
"USW00003038","2019-05-12",,,,,
"USW00003038","2019-05-13",,,,,
"USW00003038","2019-05-14",,,,,
"USW00003038","2019-05-15",,,,,
"USW00003038","2019-05-16",,,,,
"USW00003038","2019-05-17",,,,,
"USW00003038","2019-05-18",,,,,
"USW00003038","2019-05-19",,,,,
"USW00003038","2019-05-20",,,,,
"USW00003038","2019-05-21",,,,,
"USW00003038","2019-05-22",,,,,
"USW00003038","2019-05-23",,,,,
"USW00003038","2019-05-24",,,,,
"USW00003038","2019-05-25",,,,,
"USW00003038","2019-05-26",,,,,
"USW00003038","2019-05-27",,,,,
"USW00003038","2019-05-28",,,,,
"USW00003038","2019-05-29",,,,,
"USW00003038","2019-05-30",,,,,
"USW00003038","2019-05-31",,,,,"0.0"
"USW00003038","2019-06-01",,,,,
"USW00003038","2019-06-02",,,,,
"USW00003038","2019-06-03",,,,,
"USW00003038","2019-06-04",,,,,
"USW00003038","2019-06-05",,,,,
"USW00003038","2019-06-06",,,,,
"USW00003038","2019-06-07",,,,,
"USW00003038","2019-06-08",,,,,
"USW00003038","2019-06-09",,,,,
"USW00003038","2019-06-10",,,,,
"USW00003038","2019-06-11",,,,,
"USW00003038","2019-06-12",,,,,
"USW00003038","2019-06-13",,,,,
"USW00003038","2019-06-14",,,,,
"USW00003038","2019-06-15",,,,,
"USW00003038","2019-06-16",,,,,
"USW00003038","2019-06-17",,,,,
"USW00003038","2019-06-18",,,,,
"USW00003038","2019-06-19",,,,,
"USW00003038","2019-06-20",,,,,
"USW00003038","2019-06-21",,,,,
"USW00003038","2019-06-22",,,,,
"USW00003038","2019-06-23",,,,,
"USW00003038","2019-06-24",,,,,
"USW00003038","2019-06-25",,,,,
"USW00003038","2019-06-26",,,,,
"USW00003038","2019-06-27",,,,,
"USW00003038","2019-06-28",,,,,
"USW00003038","2019-06-29",,,,,
"USW00003038","2019-06-30",,,"0.05",,"0.0"
"USW00003038","2019-07-01",,,,,
"USW00003038","2019-07-02",,,,,
"USW00003038","2019-07-03",,,,,
"USW00003038","2019-07-04",,,,,
"USW00003038","2019-07-05",,,,,
"USW00003038","2019-07-06",,,,,
"USW00003038","2019-07-07",,,,,
"USW00003038","2019-07-08",,,,,
"USW00003038","2019-07-09",,,,,
"USW00003038","2019-07-10",,,,,
"USW00003038","2019-07-11",,,,,
"USW00003038","2019-07-12",,,,,
"USW00003038","2019-07-13",,,,,
"USW00003038","2019-07-14",,,,,
"USW00003038","2019-07-15",,,,,
"USW00003038","2019-07-16",,,,,
"USW00003038","2019-07-17",,,,,
"USW00003038","2019-07-18",,,,,
"USW00003038","2019-07-19",,,,,
"USW00003038","2019-07-20",,,,,
"USW00003038","2019-07-21",,,,,
"USW00003038","2019-07-22",,,,,
"USW00003038","2019-07-23",,,,,
"USW00003038","2019-07-24",,,,,
"USW00003038","2019-07-25",,,"0.09",,"0.0"
"USW00003038","2019-08-01",,,,,
"USW00003038","2019-08-02",,,,,
"USW00003038","2019-08-03",,,,,
"USW00003038","2019-08-04",,,,,
"USW00003038","2019-08-05",,,,,
"USW00003038","2019-08-06",,,,,
"USW00003038","2019-08-07",,,,,
"USW00003038","2019-08-08",,,,,
"USW00003038","2019-08-09",,,,,
"USW00003038","2019-08-10",,,,,
"USW00003038","2019-08-11",,,,,
"USW00003038","2019-08-12",,,,,
"USW00003038","2019-08-13",,,,,
"USW00003038","2019-08-14",,,,,
"USW00003038","2019-08-15",,,,,
"USW00003038","2019-08-16",,,,,
"USW00003038","2019-08-17",,,,,
"USW00003038","2019-08-18",,,,,
"USW00003038","2019-08-19",,,,,
"USW00003038","2019-08-20",,,,,
"USW00003038","2019-08-21",,,,,
"USW00003038","2019-08-22",,,,,
"USW00003038","2019-08-23",,,,,
"USW00003038","2019-08-24",,,,,
"USW00003038","2019-08-25",,,,,
"USW00003038","2019-08-26",,,,,
"USW00003038","2019-08-27",,,,,
"USW00003038","2019-08-28",,,,,
"USW00003038","2019-08-29",,,,,
"USW00003038","2019-08-30",,,"0.00","0.0","0.0"
"USW00003038","2019-08-31",,,"0.00","0.0","0.0"
"USW00003038","2019-09-01",,,,,
"USW00003038","2019-09-02",,,,,
"USW00003038","2019-09-03",,,,,
"USW00003038","2019-09-04",,,,,
"USW00003038","2019-09-05",,,,,
"USW00003038","2019-09-06",,,,,
"USW00003038","2019-09-07",,,,,
"USW00003038","2019-09-08",,,,,
"USW00003038","2019-09-09",,,,,
"USW00003038","2019-09-10",,,,,
"USW00003038","2019-09-11",,,,,
"USW00003038","2019-09-12",,,,,
"USW00003038","2019-09-13",,,,,
"USW00003038","2019-09-14",,,,,
"USW00003038","2019-09-15",,,,,
"USW00003038","2019-09-16",,,,,
"USW00003038","2019-09-17",,,,,
"USW00003038","2019-09-18",,,,,
"USW00003038","2019-09-19",,,,,
"USW00003038","2019-09-20",,,,,
"USW00003038","2019-09-21",,,,,
"USW00003038","2019-09-22",,,,,
"USW00003038","2019-09-23",,,,,
"USW00003038","2019-09-24",,,,,
"USW00003038","2019-09-25",,,,,
"USW00003038","2019-09-26",,,,,
"USW00003038","2019-09-27",,,,,
"USW00003038","2019-09-28",,,,,
"USW00003038","2019-09-29",,,,,
"USW00003038","2019-09-30",,,,,
"USW00003038","2019-10-01",,,,,
"USW00003038","2019-10-02",,,,,
"USW00003038","2019-10-03",,,,,
"USW00003038","2019-10-04",,,,,
"USW00003038","2019-10-05",,,,,
"USW00003038","2019-10-06",,,,,
"USW00003038","2019-10-07",,,,,
"USW00003038","2019-10-08",,,,,
"USW00003038","2019-10-09",,,,,
"USW00003038","2019-10-10",,,,,
"USW00003038","2019-10-11",,,,,
"USW00003038","2019-10-12",,,,,
"USW00003038","2019-10-13",,,,,
"USW00003038","2019-10-14",,,,,
"USW00003038","2019-10-15",,,,,
"USW00003038","2019-10-16",,,,,
"USW00003038","2019-10-17",,,,,
"USW00003038","2019-10-18",,,,,
"USW00003038","2019-10-19",,,,,
"USW00003038","2019-10-20",,,,,
"USW00003038","2019-10-21",,,,,
"USW00003038","2019-10-22",,,,,
"USW00003038","2019-10-23",,,,,
"USW00003038","2019-10-24",,,,,
"USW00003038","2019-10-25",,,,,
"USW00003038","2019-10-26",,,,,
"USW00003038","2019-10-27",,,,,
"USW00003038","2019-10-28",,,,,
"USW00003038","2019-10-29",,,,,
"USW00003038","2019-10-30",,,,,
"USW00003038","2019-10-31",,,"0.08",,"0.0"
"USW00003038","2019-11-01",,,,,
"USW00003038","2019-11-02",,,,,
"USW00003038","2019-11-03",,,,,
"USW00003038","2019-11-04",,,,,
"USW00003038","2019-11-05",,,,,
"USW00003038","2019-11-06",,,,,
"USW00003038","2019-11-07",,,,,
"USW00003038","2019-11-08",,,,,
"USW00003038","2019-11-09",,,,,
"USW00003038","2019-11-10",,,,,
"USW00003038","2019-11-11",,,,,
"USW00003038","2019-11-12",,,,,
"USW00003038","2019-11-13",,,,,
"USW00003038","2019-11-14",,,,,
"USW00003038","2019-11-15",,,,,
"USW00003038","2019-11-16",,,,,
"USW00003038","2019-11-17",,,,,
"USW00003038","2019-11-18",,,,,
"USW00003038","2019-11-19",,,,,
"USW00003038","2019-11-20",,,,,
"USW00003038","2019-11-21",,,,,
"USW00003038","2019-11-22",,,,,
"USW00003038","2019-11-23",,,,,
"USW00003038","2019-11-24",,,,,
"USW00003038","2019-11-25",,,,,
"USW00003038","2019-11-26",,,,,
"USW00003038","2019-11-27",,,,,
"USW00003038","2019-11-28",,,,,
"USW00003038","2019-11-29",,,,,
"USW00003038","2019-11-30",,,,,
"USW00003038","2019-12-01",,,,,
"USW00003038","2019-12-02",,,,,
"USW00003038","2019-12-03",,,,,
"USW00003038","2019-12-04",,,,,
"USW00003038","2019-12-05",,,,,
"USW00003038","2019-12-06",,,,,
"USW00003038","2019-12-07",,,,,
"USW00003038","2019-12-08",,,,,
"USW00003038","2019-12-09",,,,,
"USW00003038","2019-12-10",,,,,
"USW00003038","2019-12-11",,,,,
"USW00003038","2019-12-12",,,,,
"USW00003038","2019-12-13",,,,,
"USW00003038","2019-12-14",,,,,
"USW00003038","2019-12-15",,,,,
"USW00003038","2019-12-16",,,,,
"USW00003038","2019-12-17",,,,,
"USW00003038","2019-12-18",,,,,
"USW00003038","2019-12-19",,,,,
"USW00003038","2019-12-20",,,,,
"USW00003038","2019-12-21",,,,,
"USW00003038","2019-12-22",,,,,
"USW00003038","2019-12-23",,,,,
"USW00003038","2019-12-24",,,,,
"USW00003038","2019-12-25",,,,,
"USW00003038","2019-12-26",,,,,
"USW00003038","2019-12-27",,,,,
"USW00003038","2019-12-28",,,,,
"USW00003038","2019-12-29",,,,,
"USW00003038","2019-12-30",,,,,
"USW00003038","2019-12-31",,,"0.00","0.0","0.0"
"USW00003038","2020-01-01",,,,,
"USW00003038","2020-01-02",,,,,
"USW00003038","2020-01-03",,,,,
"USW00003038","2020-01-04",,,,,
"USW00003038","2020-01-05",,,,,
"USW00003038","2020-01-06",,,,,
"USW00003038","2020-01-07",,,,,
"USW00003038","2020-01-08",,,,,
"USW00003038","2020-01-09",,,,,
"USW00003038","2020-01-10",,,,,
"USW00003038","2020-01-11",,,,,
"USW00003038","2020-01-12",,,,,
"USW00003038","2020-01-13",,,,,
"USW00003038","2020-01-14",,,,,
"USW00003038","2020-01-15",,,,,
"USW00003038","2020-01-16",,,,,
"USW00003038","2020-01-17",,,,,
"USW00003038","2020-01-18",,,,,
"USW00003038","2020-01-21",,,,,
"USW00003038","2020-01-22",,,,,
"USW00003038","2020-01-23",,,,,
"USW00003038","2020-01-24",,,,,
"USW00003038","2020-01-25",,,,,
"USW00003038","2020-01-26",,,,,
"USW00003038","2020-01-27",,,,,
"USW00003038","2020-01-28",,,,,
"USW00003038","2020-01-29",,,,,
"USW00003038","2020-01-30",,,,,
